;Bundesland;Bestaetigte Faelle;Davon elektronisch uebermittelt;Schwerpunkt Gebiete
0;Baden-Württemberg;569 (2);506 (2);
1;Bayern;681 (1);605 (1);
2;Berlin;216;216;
3;Brandenburg;61;57;
4;Bremen;50;50;
5;Hamburg;158;119;
6;Hessen;203;141;
7;Mecklenburg-Vorpommern;45;23;
8;Niedersachsen;253;187;
9;Nordrhein-Westfalen;1.154 (5);1.154 (5);Landkreis Heinsberg
10;Rheinland-Pfalz;121;121;
11;Saarland;40;31;
12;Sachsen;93;86;
13;Sachsen-Anhalt;45;40;
14;Schleswig-Holstein;60;54;
15;Thüringen;46;31;
16;<strong>Gesamt</strong>;<strong>3.795 (8)</strong>;<strong>3.421 (8)</strong>;
